"restaurant_name","cnt","avg_rating","avg_price","avg_delivery_time"
"Coffichat",1,4.599999904632568,200.0,23.0
"College Road Samose Wala",1,4.599999904632568,200.0,15.0
"Conçu",1,4.599999904632568,250.0,49.0
"Corner House Ice Creams",2,4.599999904632568,150.0,22.0
"Cream Bell",1,4.599999904632568,200.0,43.0
"Desi Street Restaurant And Cafe",1,4.599999904632568,250.0,41.0
"Dessert Forest",1,4.599999904632568,150.0,36.0
"Diet Master",1,4.599999904632568,100.0,35.0
"Euphoria Bakers",1,4.599999904632568,100.0,25.0
"Fit Food Hub",1,4.599999904632568,150.0,38.0
"Flavors",1,4.599999904632568,150.0,15.0
"Frozen Den's Burgers & More",1,4.599999904632568,250.0,32.0
"Fruitoholic",1,4.599999904632568,250.0,41.0
"Gala Dreams",1,4.599999904632568,200.0,19.0
"Garlick",1,4.599999904632568,100.0,44.0
"Garwa Cold Drinks- Shani Mandir",1,4.599999904632568,100.0,20.0
"Ghai Biscuits",1,4.599999904632568,300.0,13.0
"Good Morning Bakers",1,4.599999904632568,100.0,26.0
"Govinda's Snacks Centre Camp ISKCON",1,4.599999904632568,150.0,36.0
"Haji Noor Mohammad Sheer Mal Wale",1,4.599999904632568,100.0,21.0
"Half Baked",1,4.599999904632568,150.0,190.0
"Hamro Kitchen",1,4.599999904632568,200.0,29.0
"Hot And Tasty Sandwich",1,4.599999904632568,100.0,55.0
"Hotel Green's Bar & Restaurant",1,4.599999904632568,500.0,19.0
"Mohanlal S Mithaiwala",2,4.549999952316284,175.0,30.0
"Lifetime Nutrition Cafe",1,4.5,100.0,31.0
"Lijjat Khaman",1,4.5,100.0,31.0
"Livestream Coffee",1,4.5,100.0,42.0
"Lola’s Pizzeria",1,4.5,100.0,49.0
"Lord Of Biryani",1,4.5,100.0,38.0
"Lovely's Kitchen Home Made Food",1,4.5,50.0,55.0
"M M Masura",1,4.5,200.0,29.0
"Maa Cold Coco & Fruit Salad",1,4.5,200.0,33.0
"Maa Ki Rasoi For Traditional Thali",1,4.5,150.0,69.0
"Mad Over Lunch",1,4.5,350.0,46.0
"Madhur Pure Veg",1,4.5,150.0,25.0
"Madhvi",1,4.5,100.0,30.0
"Maggu Pakore Wala",1,4.5,40.0,19.0
"Mahadev Nashta House And Bhojanalay",1,4.5,350.0,37.0
"Maharaja Cold Drinks",1,4.5,100.0,27.0
"Makers Of Milkshake",1,4.5,200.0,14.0
"Manohar Dairy",1,4.5,200.0,12.0
"Mansukhlal D.Mithaiwala",1,4.5,50.0,17.0
"Meghana Vada Samrat",1,4.5,100.0,13.0
"Meisterwurst",1,4.5,300.0,36.0
"Mewad Soda",1,4.5,50.0,28.0
"Mexe",1,4.5,250.0,52.0
"Miana's Croissanterie",1,4.5,150.0,37.0
"Milan's Live Dhokla & Masala Chhas",1,4.5,100.0,22.0
"Milkie Mustache",1,4.5,300.0,50.0
"Milkshake & Co",1,4.5,200.0,23.0
"Milkshake And Co.",2,4.5,150.0,32.5
"Millet Maagic Meal",1,4.5,100.0,42.0
"Modella Sweets And Cake Crunch",1,4.5,150.0,20.0
"Molana Omlet Center",1,4.5,150.0,44.0
"Mom Kitchen",1,4.5,150.0,39.0
"Momo Sa-Khang By Kailash Kitchen",1,4.5,250.0,41.0
"Momohauss",1,4.5,100.0,27.0
"Mothers Touch",1,4.5,50.0,26.0
"Mountview Patisserie",1,4.5,150.0,27.0
"Moussestruck",1,4.5,350.0,16.0
"Mr Bakers",1,4.5,100.0,41.0
"Mr Shawarma",1,4.5,150.0,38.0
"Mumbai Fresh Vadapav",1,4.5,150.0,28.0
"Mumbai Vada Pav Center",1,4.5,50.0,45.0
"Muncheese",1,4.5,250.0,30.0
"Nabjiban Kulfi",1,4.5,50.0,12.0
"Nandhiniee Sweets",1,4.5,200.0,36.0
"Four Season's Bakers",1,4.5,150.0,28.0
"Frida Cantina",1,4.5,300.0,32.0
"Frozen Fun - Gelato Ice Cream",1,4.5,100.0,27.0
"Fruit Bite Natural Juices & Salads",1,4.5,300.0,45.0
"Frutahut",1,4.5,250.0,29.0
