"restaurant_name","rating","average_price","average_delivery_time","south_indian_or_not","north_indian_or_not","fast_food_or_not","street_food","biryani_or_not","bakery_or_not","location","cnt"
"24 Royal Chinese Cafe",3.6,100,37,0,0,0,0,0,0,"Vadodara",1
"24/2 Maggi Villa",4.0,200,31,0,0,1,0,0,0,"Meerut",1
"24/7 Food Ex",3.9,50,31,0,1,1,1,1,0,"Bhopal",1
"24Seven",4.0,250,42,0,1,1,1,0,0,"NCR",2
"24Seven",4.0,250,44,0,1,1,1,0,0,"Delhi NCR",2
"25 Rice Bowls",4.3,350,27,0,1,0,0,0,0,"Ludhiana",1
"28 Street Jam Cafe",3.6,200,43,0,0,1,0,0,0,"Guwahati",1
"29 States",3.4,150,24,0,1,0,0,0,0,"Bhopal",1
"2ND Wife",4.2,250,28,0,1,1,0,0,0,"Agra",1
"2o2 Di Restro Cafe",3.9,150,37,0,1,1,0,0,0,"Indore",1
"3 Coins",4.4,450,30,0,0,0,0,0,0,"Nellore",1
"3 Hill Cart Road- Jhale Jhole Ambole",4.2,100,34,0,0,0,0,0,0,"Siliguri",1
"3 K Resorts",3.8,400,43,0,1,0,0,1,0,"Ludhiana",1
"3 Mom's Kitchen",4.3,50,38,0,1,0,0,0,0,"Indore",1
"3 Monkey's Cafe",4.1,150,32,0,0,1,0,0,0,"Coimbatore",1
"3 Not 3 Ice Cream Cafe",4.2,200,25,0,0,0,0,0,0,"Chandigarh",1
"3 Peg Bar & Restaurant",4.0,250,19,0,0,0,0,0,0,"Jamshedpur",1
"3 Star Bakery",4.5,150,37,0,0,1,0,0,1,"Warangal",1
"3 Star Sweets Bakery Restaurant",4.3,100,35,0,0,1,0,0,1,"Warangal",1
"3 Story",4.0,100,40,0,1,1,0,0,0,"Surat",1
"3 Way Adda",3.5,250,42,0,0,0,1,0,0,"Guwahati",1
"3 Way Point",3.9,250,48,0,0,0,0,1,0,"Guwahati",1
"3 Way Restaurant & Cafe",3.4,250,37,0,0,0,0,0,0,"Allahabad",1
