"restaurant_name","rating","average_price","average_delivery_time","south_indian_or_not","north_indian_or_not","fast_food_or_not","street_food","biryani_or_not","bakery_or_not","location","cnt"
"Champaran Restaurant",3.1,100,29,0,1,0,0,1,0,"Varanasi",2
"Champaran Restaurant",3.5,200,29,0,1,0,0,1,0,"Varanasi",2
"Chamunda - The Lassi Shop",4.2,150,17,0,0,0,0,0,0,"Junagadh",1
"Chamunda Chai",4.1,150,16,0,0,0,1,0,0,"Surat",1
"Chamunda Idli Sambhar",3.7,100,15,1,0,1,0,0,0,"Bhavnagar",1
"Chamunda Krupa Lassi & Juice",4.1,150,13,0,0,0,0,0,0,"Bhavnagar",1
"Chamunda Lassi",4.3,200,20,0,0,0,0,0,0,"Junagadh",1
"Chamunda Restaurant And Bar",4.0,150,48,0,1,0,0,0,0,"Ajmer",1
"Chamunda The Lassi Shop",4.0,100,16,0,0,0,0,0,0,"Rajkot",1
"Chana Zor Garam",3.8,200,46,0,0,1,1,0,0,"Kolkata",1
"Chanakya Hotel",3.5,150,30,0,1,0,0,0,0,"Bikaner",1
"Chanchal Dhaba",4.3,150,46,0,1,0,0,0,0,"Guwahati",1
"Chanchal Hotel",3.7,250,27,0,1,0,0,0,0,"Agra",1
"Chanchal Namkeen",3.7,50,26,0,0,0,1,0,0,"Indore",1
"Chanchal Restaurant",3.5,150,39,1,1,1,1,0,0,"Dehradun",1
"Chanda Cafe",3.7,50,21,1,0,0,1,0,0,"Allahabad",1
"Chandan Bhojnalaya",3.9,100,35,0,1,0,0,0,0,"Surat",1
"Chandan Biscuit",4.3,50,23,0,0,1,0,0,1,"Kanpur",1
"Chandan Dhaba",3.6,150,42,0,1,1,0,0,0,"Patna",1
"Chandan Hotel",3.8,200,20,0,1,0,0,0,0,"Patna",2
"Chandan Hotel",4.2,50,25,0,1,0,0,1,0,"Gaya",2
"Chandan Omlette Center",4.3,200,41,0,0,0,1,0,0,"Surat",1
"Chandani Chowk To China",4.0,50,29,0,1,0,0,0,0,"Jamshedpur",1
"Chander Juice Center",3.9,100,18,0,0,0,1,0,0,"Moradabad",1
"Chanderi Hut Family Dhaba",3.8,200,23,0,1,0,1,0,0,"Raipur",1
"Chander's - The Thirst Quencher",3.8,150,21,0,0,1,0,0,0,"Moradabad",1
"Chander's Premium",4.0,150,23,0,0,1,0,0,0,"Moradabad",1
"Chandigarh Cafe",3.8,100,44,0,0,1,1,0,0,"Chandigarh",1
"Chandigarh Chulha",3.1,200,41,0,1,1,0,0,0,"Chandigarh",1
"Chandigarh Flavours",4.0,150,35,0,1,1,1,1,0,"Chandigarh",1
"Chandigarh Hotel",3.8,200,33,0,1,0,0,0,0,"Kolkata",1
"Chandigarh Junction",3.8,150,46,0,1,1,0,0,0,"Chandigarh",1
"Chandigarh Rolls",3.4,150,39,0,0,0,0,0,0,"Chandigarh",1
"Chandigarh Rolls Maker",3.4,100,42,0,0,0,0,0,0,"Chandigarh",1
"Chandigarh To Chennai",4.0,200,46,1,1,0,0,0,0,"Kolkata",1
"Chandni Chowk",3.3,150,40,0,1,0,1,0,0,"Jalandhar",1
"Chandni Chowk Food Court",4.1,100,27,1,1,1,0,0,0,"Meerut",1
"Chandni Food Service",3.9,200,27,0,1,1,0,0,0,"Meerut",1
"Chandra Restaurant",3.6,50,41,0,1,1,0,0,0,"Bareilly",1
"Chandra Shahi Samosa",4.2,100,23,0,0,0,1,0,0,"Jodhpur",1
"Chandrakala Sweets",4.4,100,24,0,0,0,1,0,0,"Jabalpur",1
"Chandraksh Bhoj",3.9,200,25,0,1,0,1,0,0,"NCR",1
"Chandralok Kachouri",4.3,100,19,1,0,1,0,0,0,"Allahabad",1
"Chandramukhi Bhojnalay",4.1,200,27,0,1,0,0,0,0,"Lucknow",1
"Chandravilas Bhojnalay",3.3,100,42,0,1,0,0,0,0,"Indore",1
"Chandravilas Bhuvan",4.2,50,30,1,0,1,0,0,0,"Pune",1
"Chandu Chinese Food Centre",4.5,300,31,0,0,1,0,0,0,"Mangalore",1
"Chandu Halwai",4.4,200,17,0,1,0,0,0,0,"Mumbai",1
"Chandu Restaurant",4.0,100,34,0,1,0,0,0,0,"Jodhpur",1
"Chandu Restaurant And Fast Food",4.2,250,35,0,1,0,0,0,0,"Jodhpur",1
"Chandu Thali Wala",3.9,50,37,0,1,1,0,0,0,"Jodhpur",1
"Chandubhai Bhelwala",4.2,100,17,0,0,1,1,0,0,"Rajkot",1
"Chandubhai Omlet Wala",4.2,350,49,0,1,0,1,0,0,"Surat",1
"Chandulal Rasvanti Snacks & Colddrinks",3.3,100,31,0,0,0,0,0,0,"Jalgaon",1
"Chandulal Raswanti and Cold Drinks (Fule Market)",3.4,100,24,0,0,0,0,0,0,"Jalgaon",1
"Chandu's Kitchen Multi Cuisine Family Restaurant",4.1,150,23,0,1,0,1,1,0,"Vijayawada",1
"Chang Mai",4.4,300,45,0,0,0,0,0,0,"Guwahati",1
"Changezi Chicken",3.0,150,44,0,1,0,0,1,0,"NCR",3
"Changezi Chicken",3.6,100,25,0,1,0,0,1,0,"Gorakhpur",3
"Changezi Chicken",4.1,250,54,0,1,0,0,0,0,"NCR",3
"Changezi Chicken Restaurant",4.1,150,34,0,0,0,0,1,0,"Allahabad",1
"Chango's",4.1,150,41,0,0,0,0,0,0,"Lucknow",1
"Chang's Legacy",4.0,150,35,0,1,0,0,0,0,"Indore",1
"Changu Mangu",3.8,100,28,0,1,0,0,0,0,"Patna",1
"Chanoya",3.7,150,25,0,0,0,0,0,1,"Jamshedpur",1
"Chanpatiya Meet Pratha House",3.4,150,29,0,1,0,0,0,0,"Patna",1
"Chaoji Khaoji",3.5,150,34,0,0,1,1,0,0,"Udaipur",1
"ChaoMan",4.3,400,40,0,0,0,0,0,0,"Patiala",1
"Chapathi Mane",4.3,200,34,1,0,0,0,0,0,"Bangalore",1
"Chapo",3.7,100,43,0,1,1,0,0,0,"Indore",1
"Chappan Bhog",4.5,350,16,0,0,0,1,0,0,"Bhopal",1
"Chappan Bhog Sweets",3.8,150,19,1,1,1,0,0,0,"Saharanpur",1
"Chaps - In Fast Food",4.2,500,27,0,1,1,0,0,0,"Chandigarh",1
"Chapter 2",4.2,300,51,0,0,0,0,0,0,"Kolkata",1
"Chapter One",3.8,150,49,1,0,1,0,0,0,"Raipur",1
"Chapter One Momos",3.7,100,41,1,0,0,1,0,0,"Raipur",1
"Char Grills",3.3,300,30,0,0,1,0,0,0,"Coimbatore",1
"Charaka Mess",4.3,150,23,1,0,0,0,0,0,"Belgaum",1
"Charan Juice & Confectionery",4.4,150,24,0,0,0,0,0,0,"Patiala",1
"Charbhuja Chaat",4.1,100,20,0,0,0,1,0,0,"Udaipur",1
"Charbhuja Sandwich",4.2,150,22,0,0,1,1,0,0,"Ahmedabad",1
"Charbhuja Sandwich Centre",4.1,100,25,0,0,1,1,0,0,"Ahmedabad",1
"Charcoal",4.1,250,36,0,1,0,0,0,0,"Goa",1
"Charcoal Eats - Biryani & Beyond",4.1,350,30,0,0,0,0,1,0,"Mumbai",1
"Charcoal Kebaberie",4.4,100,53,0,1,0,0,1,0,"Kolkata",1
"Charcoal Restaurant",4.0,100,48,0,1,1,0,0,0,"Gonda",1
"Charcoal Shawarma",3.6,250,20,0,0,0,0,0,0,"Trivandrum",2
"Charcoal Shawarma",3.9,100,43,0,0,0,0,0,0,"Trivandrum",2
"Charles Chicken",4.0,200,27,1,0,0,0,1,0,"Madurai",1
"Charlie Bakery",4.4,100,24,0,0,1,0,0,1,"Udaipur",1
"Charlie Chang's",4.3,300,39,0,0,0,0,0,0,"Goa",1
"Charminar Biryani House",4.1,100,50,0,1,0,0,1,0,"Bangalore",1
"Charminar Restaurant",3.6,100,31,0,1,0,0,1,0,"Mangalore",1
"Chaska",3.6,100,35,0,0,1,0,0,0,"Bikaner",3
"Chaska",4.2,300,47,0,0,0,0,0,0,"Kanpur",3
"Chaska",4.4,100,45,0,1,0,0,0,0,"Guwahati",3
"Chaska- A Unit Of J K Cafeteria",4.1,200,48,0,1,0,0,1,0,"Guwahati",1
"Chaska By Taste",2.8,150,45,0,1,0,0,0,0,"Saharanpur",1
"Chaska Chaat",4.0,250,38,0,1,1,1,0,0,"Chennai",1
"Chaska Express",4.0,200,19,0,1,0,0,0,0,"Moradabad",1
"Chaska Food Corner",3.7,100,23,0,1,0,0,0,0,"Meerut",1
"Chaska Maska",4.0,250,34,1,1,1,0,1,0,"Nashik",1
"Chaska Momos Fast Food",3.7,100,44,0,0,1,0,0,0,"Bhopal",1
"Chaska Swaad Ka !",4.0,50,32,0,1,1,0,0,0,"Lucknow",1
"Chaskaa",4.1,150,22,1,1,1,1,0,0,"Nagpur",1
"Chat Corner",4.3,100,36,0,0,0,1,0,0,"Hyderabad",1
"Chat N Chill",3.9,50,38,0,0,0,1,0,0,"Warangal",1
"Chat Palace",3.7,100,38,0,0,1,1,0,0,"Indore",1
"Chat Street",3.2,300,40,0,1,0,0,0,0,"Ludhiana",1
"Chat Zone",4.0,100,46,0,0,0,1,0,0,"Hyderabad",1
"Chatar Patar",4.2,200,49,0,0,1,1,0,0,"Kolkata",2
"Chatar Patar",4.3,150,33,0,0,1,1,0,0,"Gorakhpur",2
"Chatka Matka",4.3,200,25,1,1,1,1,0,0,"Jaipur",1
"Chatkaars Handi",4.0,200,30,0,1,0,0,0,0,"Lucknow",1
"Chatkara Chandni Chowk Ka",4.3,200,40,0,0,0,1,0,0,"NCR",1
"Chatkara Food Court",4.3,150,42,1,1,1,0,0,0,"Patna",1
"Chatkara Sweets And Bakery",4.0,200,54,0,0,0,0,0,1,"Patna",1
"Chatkazz",3.8,50,22,0,1,0,1,0,0,"Rajkot",3
"Chatkazz",4.0,100,23,0,0,1,1,0,0,"Rajkot",3
"Chatkazz",4.0,100,32,0,0,1,1,0,0,"Udaipur",3
"Chatkazz Spice Up",4.3,100,16,0,0,1,0,0,0,"Bhavnagar",1
"Chatkeens",4.3,200,37,0,1,1,1,0,0,"Udaipur",1
"Chatniz",3.1,200,24,1,1,1,1,0,0,"Vadodara",1
"Chatora Station Restaurant",4.0,300,26,0,1,1,1,0,0,"Agra",1
"Chatore",3.0,100,29,0,1,1,0,0,0,"Surat",2
"Chatore",3.8,200,28,1,0,0,1,0,0,"Jamshedpur",2
"Chatore Stop",4.2,250,41,0,1,0,1,0,0,"Guwahati",1
"Chatoree",3.6,200,31,0,1,1,1,0,0,"Vadodara",3
"Chatoree",3.9,50,30,0,1,1,0,0,0,"Vadodara",3
"Chatoree",4.0,200,31,1,1,1,1,0,0,"Vadodara",3
"Chatorelal Food Court",3.9,300,36,1,1,1,1,0,0,"Agra",1
"Chatore's Chaat",3.2,100,40,1,0,0,1,0,0,"Surat",1
"Chatori Chachi",4.2,300,33,1,0,1,1,0,0,"Indore",1
"Chatori Chat",3.6,200,26,1,0,1,1,0,0,"Amravati",1
"Chatori Dadi",3.8,150,34,0,0,1,0,0,1,"Meerut",1
"Chatori Gali",4.3,300,28,0,0,0,0,1,0,"Ranchi",1
"Chatori Gully",4.0,200,38,0,1,1,0,0,0,"Dharamshala",1
"Chatpata",3.7,200,33,0,0,0,0,0,0,"Surat",2
"Chatpata",3.8,600,31,0,0,1,1,0,0,"Surat",2
"Chatpata Aangan",3.9,100,25,0,0,1,0,0,0,"Jalgaon",1
"Chatpata Bati Chokha",3.7,200,32,0,0,0,1,0,0,"Varanasi",1
"Chatpata Chat House",3.5,100,43,0,0,1,0,0,0,"Chennai",1
"Chatpata Dhabha Restaurant",3.1,200,31,0,1,0,1,0,0,"Kota",1
"Chatpataas Pizza",3.9,200,43,0,0,1,0,0,0,"Allahabad",1
"Chatpataa's Pizza",4.2,100,35,0,0,1,0,0,0,"Allahabad",1
"Chatpatasty",3.6,50,35,0,0,0,1,0,0,"Bhopal",1
"Chatpati Gali",3.8,100,33,0,0,0,1,0,0,"Chandigarh",1
"Chatpati Rasoi",3.7,100,33,0,1,0,0,0,0,"Raipur",1
"Chats Cafe",4.2,250,30,0,0,1,0,0,0,"Mysore",1
"Chatter Box",3.4,400,48,0,1,0,0,0,0,"Ludhiana",1
"Chatterbox",3.3,100,40,0,0,1,0,0,0,"Jalandhar",1
"Chattore Dilli Ke",3.4,150,49,0,1,0,0,1,0,"NCR",1
"Chatwala",3.9,150,38,1,1,1,1,0,0,"Jaipur",1
"Chaubara",3.7,150,29,0,0,1,1,0,0,"NCR",1
"Chaudhary Chicken",3.9,250,37,0,1,0,0,0,0,"Chandigarh",1
"Chaudhary Dairy And Confectionery",4.2,150,22,0,0,1,0,0,1,"Meerut",1
"Chaudhary Fast Food",4.4,150,22,0,0,1,0,0,0,"Saharanpur",1
"Chauhan Dhaba",3.9,100,26,0,1,1,0,0,0,"Kanpur",1
"Chauhan Fast Food",3.8,150,30,0,0,1,0,0,0,"Ludhiana",1
"Chauhan Restaurant",3.6,200,19,0,1,1,0,0,0,"Dehradun",1
"Chauhan's Dhaba",3.7,200,38,0,1,0,1,0,0,"Kanpur",1
"Chauka - Multi cuisine Restaurant",3.9,200,39,0,1,1,0,0,0,"Patna",1
"Chaukas Chinese",4.0,300,31,0,0,0,0,0,0,"Kanpur",1
"Chaumin Chaupati",4.1,150,32,0,0,0,0,0,0,"Nagpur",1
"Chaurang",4.3,250,28,0,0,0,0,0,0,"Mumbai",1
"Chaurasia Idli Dosa Corner",3.9,200,32,1,0,1,1,0,0,"Varanasi",1
"Chaurasia Paan Parlour Shop",4.4,350,18,0,0,0,0,0,0,"Ludhiana",1
"Chaurasia Paan Studio",4.5,350,26,0,0,0,0,0,0,"Ludhiana",1
"Chaurasia Pan Palace",4.6,350,30,0,0,0,0,0,0,"Ludhiana",1
"Chaurasia Pan Parlour",4.5,150,14,0,0,0,0,0,0,"Patiala",2
"Chaurasia Pan Parlour",4.5,150,24,0,0,0,0,0,0,"Ludhiana",2
"Chaurasiya Pan Bhandar",4.0,150,28,0,0,0,0,0,0,"Bareilly",1
"Chaurasiya Veg Kabab Paratha",4.0,300,45,0,0,1,0,0,0,"Lucknow",1
"Chav Assal Khandeshi",3.6,50,75,0,0,0,0,0,0,"Pune",1
"Chavan Jilebi Junction And Snacks Corner",4.2,150,41,0,0,0,1,0,0,"Nashik",1
"Chavan Raspaan Gruh",4.6,100,21,0,0,0,0,0,0,"Solapur",1
"Chavishtha Nonveg No.1",4.2,200,28,0,1,0,0,0,0,"Amravati",1
"Chawala Dillivala Restaurant",3.8,100,34,0,1,0,0,0,0,"Gorakhpur",1
"Chawla Bakers",3.3,100,34,0,0,0,0,0,1,"Asansol",1
"Chawla De Mashoor Chur Chur Naan",4.2,100,37,0,1,0,0,0,0,"NCR",2
"Chawla De Mashoor Chur Chur Naan",4.2,150,40,0,1,0,0,0,0,"Delhi NCR",2
"Chawla Fast Food",4.0,250,22,0,1,0,0,0,0,"Mumbai",1
"Chawla Food & Caterers",3.7,100,34,0,0,1,1,0,0,"Amritsar",1
"Chawla Food House",4.1,100,32,0,1,0,0,0,0,"Amritsar",1
"Chawla Ice Cream",4.1,200,11,0,0,0,0,0,0,"Ludhiana",1
"Chawla Nutri Kulcha",4.4,40,16,0,1,0,0,0,0,"Jalandhar",1
"Chawla Refreshment",4.0,200,46,0,0,0,0,0,0,"NCR",1
"Chawla Restaurant",4.2,200,24,0,1,1,1,0,0,"Bareilly",1
"Chawla Snack Point",3.9,150,39,0,1,1,0,0,0,"Saharanpur",1
"Chawla Veg & Non Veg- Dillivala",3.9,150,42,0,1,0,0,0,0,"Bikaner",1
"Chawlas",4.1,500,35,0,1,0,0,1,0,"Udaipur",1
"Chawla's",3.9,350,24,0,1,0,0,0,0,"Ajmer",2
"Chawla's",4.1,250,47,0,1,0,0,0,0,"Guwahati",2
"Chawlas - Since 1960",4.0,150,33,0,1,0,0,0,0,"Bareilly",1
"Chawlas 2",3.8,150,28,0,1,0,0,0,0,"Amritsar",4
"Chawlas 2",3.9,150,20,0,1,0,0,0,0,"Amritsar",4
"Chawlas 2",4.2,400,64,0,1,1,0,0,0,"Guwahati",4
"Chawlas 2",4.3,300,41,0,1,0,0,1,0,"Indore",4
"Chawlas 2 Since 1960",3.7,100,36,0,1,0,0,0,0,"Chandigarh",3
"Chawlas 2 Since 1960",3.7,150,28,0,1,0,0,1,0,"Chandigarh",3
"Chawlas 2 Since 1960",3.8,100,47,0,1,0,0,0,0,"Chandigarh",3
"Chawla's Chicken",3.6,200,32,0,1,0,0,0,0,"Chandigarh",1
"Chawlas Heavenz Fine Dine",4.1,350,26,0,1,1,0,0,0,"Patiala",1
"Chawla's Rasoi",4.0,150,59,0,1,0,0,0,0,"NCR",1
"Chawla's Restaurant",3.9,50,41,0,1,1,0,1,0,"Jaipur",2
"Chawla's Restaurant",4.3,100,22,0,1,0,0,1,0,"Jaipur",2
"Chawla's Tandoori Junction",3.9,150,59,0,1,0,0,0,0,"Delhi NCR",1
"Chawla's Veg & Non Veg",3.8,100,33,0,1,0,0,0,0,"Jalandhar",1
"Chawla's Vegetarian",4.2,300,18,1,1,1,0,0,0,"Ludhiana",1
"Chawlas²",3.8,100,45,0,1,0,0,1,0,"Mumbai",1
"Chawla's²",3.9,400,33,0,1,0,0,0,0,"Chandigarh",1
"Chawlas'2 - Since 1960",3.9,200,39,0,1,1,0,0,0,"NCR",1
"Chay Mocha Samosa",3.7,200,70,1,1,0,1,0,0,"Kanpur",1
"Chayam",4.0,150,35,0,0,1,1,0,0,"Kanpur",1
"Che Rai Doi",4.0,200,49,0,0,0,0,0,0,"Guwahati",1
"Cheap and Best Chettinadu Hotel",4.0,200,34,1,0,0,0,0,0,"Coimbatore",1
"Checkers",4.2,150,23,0,1,1,0,0,0,"Nagpur",1
"Checkers Pizza & Shawarma",4.1,100,46,0,0,1,0,0,0,"Allahabad",1
"Checkmate Pizza Point",4.2,150,26,0,0,1,0,0,0,"Kanpur",1
"Cheeky Chicken",4.4,100,56,0,0,1,0,0,0,"Kolkata",1
"Cheelizza",3.9,150,27,0,0,1,0,0,0,"Rajkot",1
"Cheelizza - India Ka Pizza",3.6,350,43,0,0,1,0,0,0,"Mumbai",2
"Cheelizza - India Ka Pizza",4.1,150,29,0,0,1,0,0,0,"Vadodara",2
"Cheelizza India Ka Pizza",4.0,50,40,0,0,1,0,0,0,"Pune",1
"Cheema Fast Food",3.1,300,47,0,1,1,0,0,0,"Kolkata",1
"Cheerbox",3.4,200,50,0,1,0,0,0,0,"Patna",1
"Cheers",4.4,100,19,0,0,0,0,0,0,"Ahmedabad",1
"Cheers Paratha",3.6,200,35,0,1,0,0,0,0,"Jamshedpur",1
"Cheese & Chips",3.8,50,24,0,0,1,0,0,0,"Vadodara",2
"Cheese & Chips",4.2,100,32,0,0,1,0,0,0,"Rajkot",2
"Cheese 4me",3.8,200,20,0,0,1,0,0,0,"Amritsar",1
"Cheese Busters",3.3,150,43,0,0,1,1,0,0,"Bhopal",1
"Cheese Nack",3.8,100,30,0,0,1,1,0,0,"Bhopal",1
"Cheese Please",3.7,300,49,0,0,0,0,0,0,"Kolkata",1
"Cheese Point",3.1,50,31,1,0,1,1,0,0,"Jodhpur",1
"Cheesecake & Co.",4.4,50,29,0,0,0,0,0,1,"Jaipur",7
"Cheesecake & Co.",4.4,150,22,0,0,0,0,0,1,"Delhi NCR",7
"Cheesecake & Co.",4.4,300,37,0,0,0,0,0,1,"Agra",7
"Cheesecake & Co.",4.4,350,18,0,0,0,0,0,1,"Chandigarh",7
"Cheesecake & Co.",4.4,350,29,0,0,0,0,0,1,"NCR",7
"Cheesecake & Co.",4.5,150,25,0,0,0,0,0,1,"Lucknow",7
"Cheesecake & Co.",4.5,200,39,0,0,0,0,0,1,"Bangalore",7
"Cheesecake Mills",4.3,100,31,0,0,0,0,0,1,"Surat",2
"Cheesecake Mills",4.3,350,36,0,0,0,0,0,1,"Surat",2
"Cheesecake Sams",3.9,200,39,0,0,0,0,0,1,"Kolkata",1
"Cheesecakes by CakeZone",2.9,200,24,0,0,0,0,0,1,"Thrissur",14
"Cheesecakes by CakeZone",3.0,200,22,0,0,0,0,0,1,"Guntur",14
"Cheesecakes by CakeZone",3.0,250,28,0,0,0,0,0,1,"Trichy",14
"Cheesecakes by CakeZone",3.4,150,25,0,0,0,0,0,1,"Visakhapatnam",14
"Cheesecakes by CakeZone",3.4,200,19,0,0,0,0,0,1,"Mysore",14
"Cheesecakes by CakeZone",3.4,300,16,0,0,0,0,0,1,"Salem",14
"Cheesecakes by CakeZone",3.6,100,25,0,0,0,0,0,1,"Nellore",14
"Cheesecakes by CakeZone",3.9,100,21,0,0,0,0,0,1,"Warangal",14
"Cheesecakes by CakeZone",3.9,150,25,0,0,0,0,0,1,"Coimbatore",14
"Cheesecakes by CakeZone",4.0,100,24,0,0,0,0,0,1,"Mangalore",14
"Cheesecakes by CakeZone",4.0,100,38,0,0,0,0,0,1,"Chennai",14
"Cheesecakes by CakeZone",4.0,150,24,0,0,0,0,0,1,"Surat",14
"Cheesecakes by CakeZone",4.0,300,13,0,0,0,0,0,1,"Vijayawada",14
"Cheesecakes by CakeZone",4.0,300,31,0,0,0,0,0,1,"Pune",14
"Cheesiaano Pizza",3.8,150,57,0,0,1,0,0,0,"Hyderabad",1
"Cheesilicious",4.0,150,52,0,0,0,0,0,0,"Pune",1
"Cheesimania",3.9,100,38,0,0,1,0,0,0,"Nagpur",1
"Cheesino's",4.2,100,37,0,0,0,0,0,0,"Nagpur",1
"Cheesy Bees",3.7,100,48,0,0,1,0,0,0,"Agra",1
"Cheesy Bites",4.1,200,34,0,0,1,0,0,0,"Jabalpur",1
"Cheesy Crazy Cafe",3.8,150,37,0,0,1,1,0,0,"Lucknow",3
"Cheesy Crazy Cafe",3.9,100,24,0,0,0,0,0,0,"Ahmedabad",3
"Cheesy Crazy Cafe",4.0,150,43,0,0,1,0,0,0,"Rajkot",3
"Cheesy Delights",3.2,100,54,0,0,0,1,0,0,"Chennai",1
"Cheesy Hours",3.6,300,32,0,0,0,1,0,0,"Jhansi",1
"Cheesy Hub",3.5,250,21,0,0,1,0,0,0,"Amritsar",1
"Cheesy Juicy Burgers",4.0,150,34,0,0,1,0,0,0,"Madurai",2
"Cheesy Juicy Burgers",4.0,200,39,0,0,1,0,0,0,"Vellore",2
"Cheesy Night",4.2,100,38,0,0,0,0,0,0,"Surat",1
"Cheesy Oven - Pizza",3.7,100,49,0,0,1,0,0,0,"Dehradun",1
"Cheesy Pizza Cafe",3.6,200,42,0,0,1,0,0,0,"Pune",1
"Cheesy Pizza Express",2.9,100,41,0,1,0,0,0,0,"Gaya",1
"Cheesy Pizza Hub",3.6,250,27,0,0,0,0,0,0,"Gaya",2
"Cheesy Pizza Hub",3.7,250,35,0,0,0,0,0,0,"Gaya",2
"Cheesy Pizza Point",3.6,100,54,0,0,1,0,0,0,"Lucknow",1
"Cheesy Smile",4.1,200,48,0,0,1,0,0,0,"Dhanbad",1
"Cheeze Box",3.7,150,31,0,0,1,0,0,0,"Chandigarh",1
"Cheezee Bites",3.8,250,33,0,0,1,0,0,0,"Varanasi",1
"Cheezies Pizza",3.4,150,49,0,0,1,0,0,0,"Jamshedpur",1
"Cheezy Omelettes",4.4,300,38,0,0,0,1,0,0,"Mysore",1
"Cheezylicious Cafe",4.1,200,35,0,0,0,0,0,0,"Bhubaneswar",1
"Cheezzila",3.9,250,58,0,0,0,0,0,0,"Mumbai",1
"Chef Bakers",3.3,100,45,0,0,1,0,0,1,"Bangalore",3
"Chef Bakers",4.1,50,28,0,0,0,0,0,1,"Ahmedabad",3
"Chef Bakers",4.6,100,35,0,0,0,0,0,1,"Bhubaneswar",3
"Chef Bhaijaans",4.1,150,52,0,0,0,0,0,0,"NCR",1
"Chef Corner",4.1,150,34,1,1,1,0,0,0,"Jamshedpur",1
"Chef Da Bawarchi Restaurant",4.1,100,43,1,1,1,1,0,0,"Jaipur",1
"Chef De Cuisine",4.0,100,36,1,0,1,0,1,0,"Bhopal",1
"Chef De Nutrition",4.2,50,44,0,0,0,0,0,0,"Dehradun",1
"Chef Joint",4.1,200,38,0,1,0,0,0,0,"NCR",1
"Chef Kapoor's",4.2,200,25,0,1,1,0,0,0,"Chandigarh",1
"Chef Lucky's Paratha On Wheels",4.2,150,43,0,1,0,0,1,0,"Indore",1
"Chef Mumma",4.1,50,35,0,1,1,0,0,0,"Bhopal",1
"Chef n Spice",3.6,400,37,0,1,0,0,0,0,"Chandigarh",1
"Chef N Spice 2",3.8,350,37,0,1,0,0,1,0,"Chandigarh",1
"Chef Nepali",4.1,100,31,0,0,0,0,0,0,"Moradabad",1
"Chef On Fire - Rolls, Momo & Shakes",4.0,200,42,0,1,1,0,0,0,"Chandigarh",1
"Chef Panda",3.8,150,37,0,0,1,1,0,0,"Lucknow",1
"Chef Peter's Kitchen",3.0,250,52,0,0,0,0,0,0,"Goa",1
"Chef Rajan Bakery",3.9,50,37,0,0,1,1,0,1,"Patna",1
"Chef Rasoi Cafe & Restaurant",3.6,100,35,0,1,1,1,0,0,"Jabalpur",1
"Chef Vishal Hotel And Restaurant",4.2,150,61,1,1,0,1,1,0,"Motihari",1
"Chef Vs Foody",3.9,150,22,0,0,1,0,0,0,"Saharanpur",1
"Chef's Cake World",4.0,100,17,0,0,0,0,0,1,"Trivandrum",1
"Chef's Corner",4.2,150,50,0,1,1,0,0,0,"NCR",1
"Chef's Kitchen",3.2,150,32,0,1,0,0,0,0,"Nagpur",4
"Chef's Kitchen",3.4,150,25,0,1,0,0,0,0,"Gorakhpur",4
"Chef's Kitchen",3.8,150,40,0,1,1,0,0,0,"Lucknow",4
"Chef's Kitchen",4.0,150,31,0,1,0,0,1,0,"Raipur",4
"Chef's Kitchen Family Restaurant",4.1,150,35,0,1,0,0,1,0,"Raipur",1
"Chefs Kitchen Rolls",3.6,100,24,0,1,1,0,0,0,"Raipur",1
"Chef's Nectar",3.9,200,39,0,1,1,0,1,0,"Coimbatore",1
"Chef's Restaurant",3.4,150,25,0,1,0,0,1,0,"Kanpur",1
"Chef's Roll",3.7,200,26,0,1,1,0,0,0,"Asansol",1
"Chelaram Fastfood",4.0,100,18,1,0,1,1,0,0,"Jhansi",1
"Chembur Cafe & Hotel",3.6,300,45,0,1,0,0,1,0,"Mumbai",1
"Chemeenz Restaurant",4.0,150,36,0,0,1,0,1,0,"Palakkad",1
"Cheng Chinese",4.3,100,29,0,0,1,0,0,0,"Jabalpur",1
"Chennai Banana Leaf",4.2,200,41,1,0,0,0,0,0,"Guwahati",1
"Chennai Biriyani Junction",3.8,200,30,1,0,0,0,1,0,"Madurai",1
"Chennai Buhari Hotel",3.5,100,40,1,1,0,0,1,0,"Tirunelveli",1
"Chennai Classic Cakes",4.1,150,58,0,0,1,0,0,1,"Chennai",1
"Chennai Dosa Plaza",4.3,100,29,1,0,0,0,0,0,"Patna",1
"Chennai Express",3.4,350,31,1,1,0,0,0,0,"Goa",6
"Chennai Express",3.6,150,42,1,1,0,0,0,0,"Agra",6
"Chennai Express",3.9,100,55,1,0,0,0,0,0,"Kolkata",6
"Chennai Express",4.0,100,33,1,0,0,0,0,0,"Patna",6
"Chennai Express",4.0,100,38,1,0,0,1,0,0,"Cuttack",6
"Chennai Express",4.1,400,34,1,0,0,0,0,0,"Patna",6
"Chennai Fast Food",4.2,250,35,0,1,0,0,0,0,"Chennai",1
"Chennai Idly Restaurant",3.7,100,18,1,0,0,0,0,0,"Thrissur",1
"Chennai Junction",3.9,250,67,1,0,0,0,0,0,"Kolkata",1
"Chennai Kings",4.2,150,42,1,0,1,0,0,0,"Agra",1
"Chennai Kitchen",4.2,100,33,1,1,1,0,0,0,"Ranchi",1
"Chennai Kulfi",3.7,100,22,0,0,1,1,0,0,"Salem",3
"Chennai Kulfi",4.0,150,40,0,0,1,0,0,0,"Coimbatore",3
